Title,Image,Price(Rs),Rating,Number of Reviews,Availability,Link,Resolution,Processor Brand,Processor Type,Processor Speed,Memory Technology,Hard Drive Size,Hard Disk Description,Graphics Coprocessor,Graphics Card Description,Graphics RAM Type,Operating System,Item Weight,Model Year,Computer Memory Type,Graphics Card Ram Size,Total USB ports,Battery Average Life
"Acer Nitro 5 Gaming Laptop 12th Gen Intel Core i5-12500H Processor/15.6""(39.6cms) FHD(8GB/512GB SSD/RTX 3050/144Hz/Win11 Home/RGB), AN515-58,5% Instant Off on APay ICICI CreditCard (Prime only)",https://m.media-amazon.com/images/I/41ZUZJsxSuL._SX300_SY300_QL70_ML2_.jpg,79990,4.3,163,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMjM0NzEzODg2MjIwNDk1OjE2ODEwMTkwOTY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDczMjI3MDE4Njk4Ojo0Ojo&url=%2FAcer-i5-12500H-Processor-Graphics-AN515-58%2Fdp%2FB09WN8FF5T%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.aecf6855-ca22-4113-9547-36a39dda6fb4%253Aamzn1.sym.aecf6855-ca22-4113-9547-36a39dda6fb4%26crid%3D2HIK3N7L03AWH%26cv_ct_cx%3Dgaming%2Blaptop%26keywords%3Dgaming%2Blaptop%26pd_rd_i%3DB09WN8FF5T%26pd_rd_r%3D0c7d15cc-2a35-4d2b-8cef-b804d749cf95%26pd_rd_w%3DMT94A%26pd_rd_wg%3DwyzOA%26pf_rd_p%3Daecf6855-ca22-4113-9547-36a39dda6fb4%26pf_rd_r%3DAZETD1FX5WDX6G1EXNGP%26qid%3D1681019096%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C683%26sr%3D1-21-351ffc08-24e1-40aa-a001-b834a6556c30-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,1920 X 1080 (FHD) Pixels,Intel,Core i5,4.5 GHz,DDR4,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg 500 g,,DDR4 SDRAM,4 GB,,5 Hours
"Dell Gaming G15 5525, AMD R5-6600H, 8GB, 512GB SSD, RTX 3050 (4GB GDDR6), 15.6"" (39.62Cms) FHD WVA AG 120Hz 250 nits, Windows 11 + MSO'21, Phantom Grey with speckles, 2.51Kgs (D560817WIN9B)",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41+M9WipSrL._SY300_SX300_.jpg,65990,4.2,14,In stock,https://www.amazon.in/Dell-R5-6600H-39-62Cms-speckles-D560817WIN9B/dp/B0B5H7BV4B/ref=sr_1_22?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-22,1080p,AMD,Ryzen 5,4.2 GHz,,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 10,2 kg 510 g,2022,,,3,
"ASUS TUF Gaming A15, 15.6"" (39.62 cm) FHD 144Hz, AMD Ryzen 9 5900HX, 6GB RTX3060, Gaming Laptop (16GB/512GB SSD/90WHrs Battery/Windows 11/Black/2.30 Kg), FA506QM-HN124W",https://m.media-amazon.com/images/I/41LDfnScXZS._SX300_SY300_QL70_ML2_.jpg,98000,4.3,138,In stock,https://www.amazon.in/ASUS-RTX-3060-Battery-Windows-FA506QM-HN124W/dp/B09Y695S7K/ref=sr_1_23?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-23,1920 X 1080 (FHD) Pixels,AMD,Ryzen 9,4.6 GHz,,1 TB,SSD,NVIDIA GeForce RTX 3060,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2022,SODIMM,6 GB,4,8 Hours
"ASUS TUF Gaming F15, 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i5-10300H 10th Gen, 4GB NVIDIA GeForceGTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Office H&S/Black/2.3 Kg), FX506LHB-HN355WS",https://m.media-amazon.com/images/I/51pwFj984WL._SX300_SY300_QL70_ML2_.jpg,56990,4.3,978,In stock,https://www.amazon.in/ASUS-15-6-inch-i5-10300H-GeForce-GTX-FX506LHB-HN355WS/dp/B09ZXM2B4N/ref=sr_1_24?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-24,1920 X 1080 (FHD) Pixels,AMD,Core i5,2.5 GHz,,512 GB,SSD,NVIDIA GeForce GTX 1650,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2021,SODIMM,4 GB,4,14.7 Hours
"ASUS ROG Strix G15 Advantage Edition, 15.6-inch (39.62 cm) WQHD 165Hz/3ms, AMD Ryzen 9 5980HX, 12GB RX6800M Graphics, Gaming Laptop (16GB/1TB SSD/Windows 11/Office 2021/Black/2.5 Kg), G513QY-HQ032WS",https://m.media-amazon.com/images/I/41A90ae8QVL._SY300_SX300_QL70_ML2_.jpg,134990,3.9,10,In stock,https://www.amazon.in/ASUS-Advantage-15-6-inch-RX-6800M-G513QY-HQ032WS/dp/B0B1J22NHN/ref=sr_1_25?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-25,2560 x 1440 Pixels,AMD,,4.8 GHz,,1 TB,SSD,AMDRadeonRX6800M,Dedicated,GDDR6,Windows 11 Home,2 kg 500 g,2022,SODIMM,12 GB,4,8 Hours
"MSI Raider GE78HX, Intel 13th Gen. i9-13980HX, 43CM QHD+ 240Hz Gaming Laptop (64GB/2TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4090, 16GB GDDR6/Black/3.1Kg), 13VI-087IN",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41lshLcdFxL._SX300_SY300_QL70_ML2_.jpg,547563,3,4,Only 1 left in stock,https://www.amazon.in/MSI-i9-13980HX-Windows-GeForce-13VI-087IN/dp/B0BTVW1LD6/ref=sr_1_26?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-26,,Intel,Intel Core i9,5.6 GHz,DDR5,,SSD,"NVIDIA GeForce RTX 4090, GDDR6 16GB",Dedicated,GDDR6,Windows 11 Home,3 g,,DDR5 RAM,16 GB,,
"ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop, 16"" (40.64 cm) FHD+ 165Hz/3ms, AMD Ryzen 7 6800H, 6GB RTX3060, Gaming Laptop (32GB/2TB SSD/Windows 11/with Office/Black/2.50 Kg), GX650RMZ-LS019WS",https://m.media-amazon.com/images/I/413xCJaNK2L._SY300_SX300_QL70_ML2_.jpg,224990,0,0,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODMzMTk2MzU0MjI4ODgyOjE2ODEwMTkwOTY6c3BfbXRmOjIwMDkxMzQ5ODI4Mzk4OjowOjo&url=%2FASUS-Zephyrus-RTX-3060-Windows-GX650RMZ-LS019WS%2Fdp%2FB0B5S41QMD%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681019096%26sprefix%3D%252Caps%252C683%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,1920 x 1200 Pixels,AMD,,4.7 GHz,,2 TB,SSD,NVIDIA GeForce RTX 3060,Dedicated,GDDR6,Windows 11 Home,2 kg 500 g,2022,SODIMM,6 GB,5,8 Hours
"Acer Nitro 5 Gaming Laptop 12th Gen Intel Core i5-12500H Processor/15.6""(39.6cms) FHD(8GB/512GB SSD/RTX 3050/144Hz/Win11 Home/RGB), AN515-58,5% Instant Off on APay ICICI CreditCard (Prime only)",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41ZUZJsxSuL._SX300_SY300_QL70_ML2_.jpg,79990,4.3,163,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODMzMTk2MzU0MjI4ODgyOjE2ODEwMTkwOTY6c3BfbXRmOjIwMDczMjI3MDE4Njk4OjowOjo&url=%2FAcer-i5-12500H-Processor-Graphics-AN515-58%2Fdp%2FB09WN8FF5T%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681019096%26sprefix%3D%252Caps%252C683%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,1920 X 1080 (FHD) Pixels,Intel,Core i5,4.5 GHz,DDR4,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg 500 g,,DDR4 SDRAM,4 GB,,5 Hours
"MSI Katana GF66, Intel 12th Gen. i5-12450H, 40CM FHD 144 Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Nvidia RTX3060 6GB GDDR6/Black/2.25Kg), 12UE-1001IN",https://m.media-amazon.com/images/I/41InVUeUsCL._SX300_SY300_QL70_ML2_.jpg,86990,3.6,15,In stock,https://www.amazon.in/MSI-i5-12450H-Windows-RTX3060-12UE-1001IN/dp/B0B8ZY4SKQ/ref=sr_1_29?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-29,"1080p, 1280 x 720",Intel,Intel Core i5,4400 MHz,,,SSD,NVIDIA GeForce RTX 3060,Dedicated,GDDR6,Windows 11 Home,2 kg 250 g,2022,,6 GB,4,
"ASUS TUF Dash F15 (2022), 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i5-12450H 12th Gen, RTX3050 4GB Graphics, Gaming Laptop (8GB/512GB SSD/Windows 11/Office 2021/Black/2 kg), FX517ZC-HN036WS",https://m.media-amazon.com/images/I/31bGdREleFL._SX300_SY300_QL70_ML2_.jpg,81990,4.3,141,In stock,https://www.amazon.in/ASUS-15-6-inch-i5-12450H-RTX-3050-FX517ZC-HN036WS/dp/B0B3DPZFGF/ref=sr_1_30?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-30,1920 X 1080 (FHD) Pixels,Intel,Core i5,2 GHz,,,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg,2022,SODIMM,4 GB,3,8 Hours
"ASUS ROG Strix G15, AMD Ryzen 7 4800H, 15.6"" (39.62 cm) FHD 144Hz, 4GB RTX3050 Ti Graphics, Gaming Laptop (8GB/512GB SSD/Windows 11/Office 2021/Gray/2.3 kg), G513IE-HN088WS",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41nlOJzvoDL._SX300_SY300_QL70_ML2_.jpg,82990,4.2,18,In stock,https://www.amazon.in/ASUS-RTX-3050-Graphics-Windows-G513IE-HN088WS/dp/B0BNHFYYRF/ref=sr_1_31?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-31,1920 x 1080 Pixels,AMD,Ryzen 7,4.2 GHz,DDR4,512 GB,SSD,NVIDIA GeForce RTX 3050 Ti,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,,SODIMM,4 GB,,8 Hours
"MSI Sword 15 A12VF, Intel 12th Gen. i7-12650H, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4050, 6GB GDDR6/White/2.25Kg), A12VE-402IN",https://m.media-amazon.com/images/I/31Hf80FY5ZL._SX300_SY300_QL70_ML2_.jpg,131400,5,1,In stock,https://www.amazon.in/MSI-i7-12650H-Windows-GeForce-A12VE-402IN/dp/B0BW9N46YZ/ref=sr_1_32?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-32,,Intel,Intel Core i7,4.7 GHz,DDR5,1 TB,SSD,"RTX 4050, GDDR6 6GB",Dedicated,GDDR6,Windows 11 Home,2 kg 250 g,,DDR5 RAM,6 GB,,
Acer Predator Helios 500 Gaming Laptop (11Th Gen Intel Core I9/17.3 Inches 4K Uhd Display/64Gb Ddr4 Ram/2Tb Ssd/1Tb HDD/RTX 3080 Graphics/Windows 10 Home/Per Key RGB Backlit Keyboard) Ph517-52,https://m.media-amazon.com/images/I/41RLItBD4+L._SY300_SX300_.jpg,438383,4.1,6,Only 2 left in stock,https://www.amazon.in/Acer-Predator-Graphics-Keyboard-Ph517-52/dp/B09W99QWTD/ref=sr_1_33?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-33,3840 X 2160 (UHD) Pixels,Intel,Core i9,3.3 GHz,DDR4,1 TB,Hybrid,NVIDIA GeForce RTX 3080,Dedicated,GDDR6,Windows 10 Home,3 kg 900 g,,DDR4 SDRAM,16,,4 Hours4 Hours
"MSI Gaming GL63 9SD-1042IN Intel Core i5-9300H 9th Gen 15.6-inch Gaming Laptop(8GB/1TB HDD + 256GB NVMe SSD/Windows 10 Home/GTX 1660 Ti, 6GB Graphics/Black/2.22Kg) 9S7-16P732-1043",https://m.media-amazon.com/images/I/41UmaKJA8OL._SY300_SX300_QL70_ML2_.jpg,109990,3.1,7,Only 1 left in stock,https://www.amazon.in/MSI-GL63-9SD-1042IN-15-6-inch-9S7-16P732-1043/dp/B07VXQTJCK/ref=sr_1_34?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-34,1920 x 1080 (Full HD),Intel,Core i5,,DDR4,1 TB,HDD,NVIDIA GeForce GTX 1660Ti,,,Windows 10 Home,2 kg 200 g,,,6 GB,,4 Hours
"MSI GF75 Thin 10UEK 17.3"" FHD Gaming Laptop - Black I Core i7-10750H+HM470 I DDR4 16GB I 256GB NVMe PCIe SSD +1TB (SATA) 5400rpm I NVIDIA GPU RTX3060 Max-Q, GDDR6 6GB I Windows 10 Home",https://m.media-amazon.com/images/I/416kjhKzgYS._SX300_SY300_QL70_ML2_.jpg,82490,5,1,Only 2 left in stock,https://www.amazon.in/MSI-GF75-Thin-10UEK-Gaming/dp/B097JWYQT8/ref=sr_1_35?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-35,1920x1080,Intel,Core i7,2.6,DDR4,1 TB,SSD,,Integrated,GDDR6,Windows 10 Home,1 kg 860 g,,DIMM,,,
"MSI Sword 15 A12UDX, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX3050, 6GB GDDR6/White/2.25Kg), A12UDX-468IN",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31Hf80FY5ZL._SX300_SY300_QL70_ML2_.jpg,106213,0,0,In stock,https://www.amazon.in/MSI-i5-12450H-Windows-GeForce-A12UDX-468IN/dp/B0BW9NT5SF/ref=sr_1_36?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019096&sprefix=%2Caps%2C683&sr=8-36,,Intel,Intel Core i5,4.4 GHz,DDR5,1 TB,SSD,"RTX 3050 6GB, GDDR6 6GB",Dedicated,GDDR6,Windows 11 Home,2 kg 250 g,,DDR5 RAM,6 GB,,
"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 7 4800H, 4GB NVIDIAGeForceRTX3050, Gaming Laptop (8GB/512GB SSD/90WHrs Battery/Windows 11/Black/2.3 Kg), FA506ICB-HN005W",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41LDfnScXZS._SX300_SY300_QL70_ML2_.jpg,71490,4.3,98,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODMzMTk2MzU0MjI4ODgyOjE2ODEwMTkwOTY6c3BfYnRmOjIwMDYxNDkxNDQwMDk4OjowOjo&url=%2FASUS-15-6-inch-NVIDIA-GeForce-RTX-3050-Battery-FA506ICB-HN005W%2Fdp%2FB09ZXVY6NR%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681019096%26sprefix%3D%252Caps%252C683%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,1920 X 1080 (FHD) Pixels,AMD,Ryzen 7,4.2 GHz,,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2021,SODIMM,4 GB,4,1 Hours
"Acer Aspire 5 Gaming Laptop, Intel Core i5 12th gen (12-Cores) (8 GB/512 GB SSD/Win11 Home/4 GB Graphics/GeForce RTX 2050) A515-57G (15.6"",1.8 Kg),5% Instant Off on APay ICICI CreditCard (Prime only)",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41dgHDQs4RL._SX300_SY300_QL70_ML2_.jpg,59999,3.9,198,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxODMzMTk2MzU0MjI4ODgyOjE2ODEwMTkwOTY6c3BfYnRmOjIwMDU2NzI3MDMyMDk4OjowOjo&url=%2FAcer-12-Cores-Windows-Graphics-A515-57G%2Fdp%2FB0B45RSRQL%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681019096%26sprefix%3D%252Caps%252C683%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,1920 x 1080 Pixels,Intel,Core i5,3.3 GHz,DDR4,512 GB,SSD,NVIDIA GeForce RTX 2050,Dedicated,GDDR6,Windows 11 Home,1 kg 800 g,,DDR4 SDRAM,4 GB,,
"HP Pavilion Gaming 11th Gen Intel Core i5 15.6""(39.6cm) FHD Gaming Laptop (8GB RAM/512GB SSD/RTX 3050 4GB Graphics/144 Hz/B&O/Windows 10 Home/MS Office/2.23Kg), 15-dk2012TX, Black",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41j6O0FtwTL._SX300_SY300_QL70_ML2_.jpg,69057,3.8,39,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMyNDAyNTU3NTE2NjcwOjE2ODEwMTkxOTg6c3BfYXRmX25leHQ6MjAwNTg1ODE0NzIzOTg6OjA6Og&url=%2FHP-Pavilion-Graphics-Windows-15-dk2012TX%2Fdp%2FB09J2GR7X3%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681019198%26sprefix%3D%252Caps%252C683%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,1920 X 1080 (FHD) Pixels,Intel,Core i5,4.4 GHz,,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 10 Home,2 kg 230 g,2021,DDR4 SDRAM,4,3,
"HP Victus Gaming Laptop AMD Ryzen 5 5600H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop (8GB RAM/512GB SSD/AMD Radeon RX 6500M Graphics(4GB GDDR6)/144Hz/9ms Response time/Backlit KB/B&O/Alexa),15-fb0777AX",https://m.media-amazon.com/images/I/41b3PmlPPuL._SX300_SY300_QL70_ML2_.jpg,59490,4.5,2,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTMyNDAyNTU3NTE2NjcwOjE2ODEwMTkxOTg6c3BfYXRmX25leHQ6MjAxNDE0OTkyNjc2OTg6OjA6Og&url=%2FHP-Graphics-Response-Backlit-15-fb0777AX%2Fdp%2FB0BSG1S3GN%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681019198%26sprefix%3D%252Caps%252C683%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,1920x1080 Pixels,AMD,Ryzen 5,4.2 GHz,DDR4,512 GB,SSD,AMD Radeon RX 6500M,Dedicated,GDDR6,Windows 11 Home,2 kg 370 g,,,,,
"MSI Prestige 14 A10RB-038IN Intel Core i7-10510U 10th Gen 14 inches Gaming Laptop (16GB/512GB NVMe SSD/Windows 10 Home/MX250, NVIDIA 2GB Graphics/1.29Kg) 9S7-14C212-038 - Grey",https://m.media-amazon.com/images/I/41v2eS6UoRL._SX300_SY300_QL70_ML2_.jpg,82990,2.7,4,Only 2 left in stock,https://www.amazon.in/MSI-Prestige-14-A10RB-038IN-9S7-14C212-038/dp/B084S4GXWX/ref=sr_1_35?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019198&sprefix=%2Caps%2C683&sr=8-35,1920 x 1080 (Full HD),Intel,Core i7,,DDR4,512 GB,SSD,NVIDIA GeForce MX250,,,Windows 10,1 kg 290 g,,,2 GB,,
"ASUS TUF Gaming A15, 15.6""(39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB GeForce GTX 1650 Laptop (16GB/512GB SSD/Win11/Black/2.3 Kg),FA506IHRZ-HN113W",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41LDfnScXZS._SX300_SY300_QL70_ML2_.jpg,60590,4.3,220,In stock,https://www.amazon.in/ASUS-Gaming-GeForce-Laptop-FA506IHRZ-HN113W/dp/B0BVQS5K7B/ref=sr_1_36?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019198&sprefix=%2Caps%2C683&sr=8-36,1920 X 1080 (FHD) Pixels,AMD,Ryzen 5,4 GHz,,512 GB,SSD,NVIDIA GeForce GTX 1650,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2022,SODIMM,4 GB,4,8 Hours
"HP Pavilion Gaming 5th Gen AMD Ryzen 5 Processor 15.6 inches(39.6cm) FHD Gaming Laptop (8GB/512GB SSD/144 Hz/Windows 10 Home/MS Office/NVIDIA GTX 1650 4GB/Shadow Black), 15-ec2008AX, 1.98kg",https://m.media-amazon.com/images/I/412hYHFcGjL._SX300_SY300_QL70_ML2_.jpg,62990,4,74,In stock,https://www.amazon.in/HP-Pavilion-Processor-15-6-inch-15-ec2008AX/dp/B091FHVCDL/ref=sr_1_37_mod_primary_new?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019198&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C683&sr=8-37,1920 X 1080 (FHD) Pixels,AMD,Ryzen 5,4.2 GHz,,512 GB,SSD,NVIDIA GeForce GTX 1650,Dedicated,GDDR6,Windows 10 Home,1 kg 980 g,2021,,4 GB,,4 Hours
"HP Pavilion Gaming 5th Gen AMD Ryzen 5 Processor 15.6 inches(39.6cm) FHD Gaming Laptop (8GB/512GB SSD/144 Hz/Windows 10 Home/MS Office/NVIDIA GTX 1650 4GB/Shadow Black), 15-ec2008AX, 1.98kg",https://m.media-amazon.com/images/I/412hYHFcGjL._SX300_SY300_QL70_ML2_.jpg,62990,4,74,In stock,https://www.amazon.in/HP-Pavilion-Processor-15-6-inch-15-ec2008AX/dp/B091FHVCDL/ref=sr_1_37_mod_new?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019198&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C683&sr=8-37,1920 X 1080 (FHD) Pixels,AMD,Ryzen 5,4.2 GHz,,512 GB,SSD,NVIDIA GeForce GTX 1650,Dedicated,GDDR6,Windows 10 Home,1 kg 980 g,2021,,4 GB,,4 Hours
"ASUS TUF Gaming F15, 15.6""(39.62 cms) FHD 144Hz, Intel Core i5-11400H 11th Gen, RTX3050 4GB Graphics, Gaming Laptop (8GB/512GB SSD/90WHrs Battery/Windows 11/Office 2021/Black/2.3 kg) FX506HC-HN089WS",https://m.media-amazon.com/images/I/41LDfnScXZS._SX300_SY300_QL70_ML2_.jpg,78990,4,56,In stock,https://www.amazon.in/ASUS-i5-11400H-RTX-3050-Graphics-FX506HC-HN089WS/dp/B0B3DMMS9L/ref=sr_1_38?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019198&sprefix=%2Caps%2C683&sr=8-38,1920 X 1080 (FHD) Pixels,Intel,Core i5,2.7 GHz,,,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2022,SODIMM,4 GB,,8 Hours
"Lenovo Ideapad Gaming 3 Intel Core i7 10th Gen 15.6""(39.62cm) FHD IPS Gaming Laptop (8GB/512GB SSD/4GB NVIDIA GTX 1650/120Hz/Windows 11/Backlit Keyboard/3months Game Pass/Onyx Black/2.2Kg), 81Y401BHIN",https://m.media-amazon.com/images/I/51hpsGSvHRL._SX300_SY300_QL70_ML2_.jpg,69890,4.1,52,In stock,https://www.amazon.in/Lenovo-Ideapad-39-62cm-Keyboard-81Y401BHIN/dp/B09Z2NZGR6/ref=sr_1_39?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019198&sprefix=%2Caps%2C683&sr=8-39,1920 X 1080 (FHD) Pixels,Intel,Core i7,2.6 GHz,,16 GB,SSD,NVIDIA GeForce GTX 1650,Integrated,,Windows 11 Home,2 kg 200 g,2021,DDR4 SDRAM,4 GB,3,8 Hours
"Lenovo IdeaPad Gaming 3 Intel Core i5 10th Gen 15.6"" (39.62cm) FHD IPS Gaming Laptop (8GB/512GB SSD/4GB NVIDIA GTX 1650/120Hz/Windows 10/Office H & S 2019/Backlit Keyboard/Onyx Black/2.2Kg),81Y401ARIN",https://m.media-amazon.com/images/I/51kHZ5qXARL._SX300_SY300_QL70_ML2_.jpg,50990,0,0,In stock,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Keyboard-81Y401ARIN/dp/B0BZHSBLTX/ref=sr_1_40?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019198&sprefix=%2Caps%2C683&sr=8-40,,Intel,Intel Core i5,2.5 GHz,DDR4,512 GB,SSD,NVIDIA GeForce GTX 1650,Dedicated,GDDR6,Windows 10 Home,3 kg 120 g,,,,,
"Lenovo Ideapad Gaming 3 AMD Ryzen 5 5600H 15.6"" (39.62cm) FHD IPS Gaming Laptop (16GB/512GB SSD/4GB NVIDIA RTX 3050/120Hz/Win 11/Office 2021/Backlit/3months Game Pass/Shadow Black/2.25Kg), 82K201ULIN",https://m.media-amazon.com/images/I/41bufC9IzpL._SX300_SY300_QL70_ML2_.jpg,68928,4.3,15,In stock,https://www.amazon.in/Lenovo-Ideapad-39-62cm-Backlit-82K201ULIN/dp/B0B2F1WDSM/ref=sr_1_41?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681019198&sprefix=%2Caps%2C683&sr=8-41,1920X1080 Pixels,NVIDIA,Ryzen 5,4.2 GHz,DDR4,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg 250 g,,DDR4 SDRAM,4 GB,,5 Hours
